player_id,player_name,player_nickname,jersey_number,country,cards,positions
3043,Christian Dannemann Eriksen,Christian Eriksen,10,Denmark,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '69:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3570,Pierre-Emile Højbjerg,,23,Denmark,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '69:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3815,Kasper Schmeichel,,1,Denmark,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3959,Andreas Christensen,,6,Denmark,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4447,Martin Braithwaite Christensen,Martin Braithwaite,9,Denmark,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '58:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5524,Jens Stryger Larsen,,17,Denmark,[],[]
5534,Simon Thorup Kjær,Simon Kjær,4,Denmark,[],[]
5536,Yussuf Yurary Poulsen,Yussuf Poulsen,20,Denmark,[],[]
5732,Andreas Evald Cornelius,Andreas Cornelius,21,Denmark,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '69:21', 'to': '69:21', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 6, 'position': 'Left Back', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6302,Kasper Dolberg,,12,Denmark,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '58:13', 'to': '69:21', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6797,Daniel Wass,,18,Denmark,[],[]
7097,Christian Nørgaard,,15,Denmark,[],[]
8247,Joachim Andersen,,2,Denmark,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12420,Frederik Rønnow,,22,Denmark,[],[]
16190,Rasmus Nissen Kristensen,Rasmus Kristensen,13,Denmark,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16294,Robert Skov,,24,Denmark,"[{'time': '74:36', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 17, 'position': 'Right Wing', 'from': '68:56', 'to': '69:21', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16554,Joakim Mæhle,Joakim Maehle,5,Denmark,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '69:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
17042,Andreas Skov Olsen,,11,Denmark,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '68:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
17043,Victor Nelsson,,3,Denmark,[],[]
18722,Mathias Jensen,,7,Denmark,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '58:30', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
21261,Jonas Older Wind,Jonas Wind,19,Denmark,[],[]
24443,Mikkel Damsgaard,,14,Denmark,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '58:30', 'to': '69:21', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
24547,Alexander Hartmann Bah,Alexander Bah,26,Denmark,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
27038,Oliver Christensen,,16,Denmark,[],[]
27569,Jesper Lindstrøm,,25,Denmark,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '69:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '69:21', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
